"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1851431481467678795","Mon Nov 04 03:06:51 +0000 2024","0","@trentc8li Ga paham klub klub taunya Blackpink","1853272672735736087","","trentc8li","in","","0","1","0","https://x.com/devinc6li/status/1853272672735736087","1835201133155172353","devinc6li"
"1853272085222826174","Mon Nov 04 03:04:31 +0000 2024","0","Hasil live draw OREGON 09 04 NOVEMBER 2024 Result : 1698 Shio : Kelinci Selamat kepada para pemenang! #linitoto #situstogelonline #agentogelresmi #bandartogelonline #situstogelterpercaya #situstogelhadiahterbesar #blackpink","1853272085222826174","","","in","","0","0","0","https://x.com/linitoto3/status/1853272085222826174","330061597","linitoto3"
"1853271872940769365","Mon Nov 04 03:03:41 +0000 2024","0","anjir gue inget lagi pas mereka nyebut bigbang sama exo panutannya fakkkk ga sekalipun gue denger blackpink nyebut bts njing asbun mulu deh mba emmawhatsen","1853271872940769365","","","in","J","0","0","0","https://x.com/oceanaseaaa/status/1853271872940769365","1577474232002703360","oceanaseaaa"
"1853219714232877265","Mon Nov 04 02:59:11 +0000 2024","2","@LalalaKkim Soalnya gue keinget terus sm kalimat Blackpink dompleng BTS wkwkwk","1853270740399009858","","LalalaKkim","in","Numberones of BLINK🖤💗","0","1","0","https://x.com/Chipmunkhollie/status/1853270740399009858","1367789071313956865","Chipmunkhollie"
"1853270300018012409","Mon Nov 04 02:57:26 +0000 2024","0","ih tolol banget. blackpink sebelum debut dah terkenal apalagi pas dance bbhmm. ditambah makin terkenal debut lagu boombayah dan whistle. oppak u waktu awal debut/sebelum debut mana ada kaya blackpink yg terkenal karena talenta. bukan pansosin para sunbae wkwkwk.","1853270300018012409","","","in","","0","2","0","https://x.com/roseb/status/1853270300018012409","66113","roseb"
"1853269254789108018","Mon Nov 04 02:53:17 +0000 2024","0","yaampun goblok blackpink dari sebelum debut aja udah terkenal ye ungu tolol beda sama oppa lu yg suka pansos sana sini ke artis lain bedain tuh blackpink dari agensi mana‍️ oppa lu kan dari agensi miskin terus sekarang okb jadi norak gamau kalah sama yg lain","1853269254789108018","","","in","","0","0","0","https://x.com/cikicikow/status/1853269254789108018","1397972838712176640","cikicikow"
"1853268090450284909","Mon Nov 04 02:48:39 +0000 2024","0","lu pernah maen rp gak? lu tau Lalisa rps udah banyak even jaman mereka belum tentu debut jadi BLACKPINK.","1853268090450284909","","","in","","0","0","0","https://x.com/msbyoun/status/1853268090450284909","3112173846","msbyoun"
"1852897982804578439","Mon Nov 04 02:46:21 +0000 2024","0","@emmawhatsen girl berani bgt ngomong ginii... i'm not a fan of blackpink tapi YG stan dulu nunggu bgt debutnya BP karena YG lama ga debutin GB sejak 2NE1 ternyata pas debut as expected dan disupport semua fans agensi lain pls jangan jadiin grup lain samsak dong caaa","1853267509908238452","","emmawhatsen","in","⠀𑜷⠀ ़ ⠀⌒⠀꒰⠀buw𝗇𝗇ꪱ𝖾⠀꒱⠀౨ৎ⠀ ࣪ ৲
⠀celestial⠀realm⠀th'⠀daintyness
⠀benevolent⠀luvies⠀doll-human
⠀˚︶꒷꒥꒷ ๋࣭⠀⠀⠀⎯⎯⎯  ⠀⠀ ๋࣭꒷꒥꒷︶˚","0","0","0","https://x.com/takii/status/1853267509908238452","3023282682","takii"
"1853267221071700223","Mon Nov 04 02:45:12 +0000 2024","4","Mau crot siapa ya blackpink #kontolin #pejuhin #crotin #kontolinfoto #kontolinmuka #kontolinaku #pejuhinfoto #pejuhinchallenge #pejuhinmuka #pejuhinaku #crotinfoto #crotinmuka #bacol #cumtribute #cocktribute #BLACKPINK","1853267221071700223","","","in","","0","0","0","https://x.com/Tra19427/status/1853267221071700223","1840396560594825216","Tra19427"
"1853266279697969460","Mon Nov 04 02:41:27 +0000 2024","0","Tiga kata lucu: Blackpink dompleng bts","1853266279697969460","","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/billieryssss/status/1853266279697969460","889407766141390848","billieryssss"
